code,digit_2,digit_3,digit_4,type_of_facility,type_of_care,center_digits,freq_of_bill
047A,4,7,A,Religious Nonmedical (Hospital),Subacute Inpatient,47,Admission/Election Notice for Hospice
057A,5,7,A,Religious Nonmedical (Extended Care),Subacute Inpatient,57,Admission/Election Notice for Hospice
067A,6,7,A,Intermediate Care,Subacute Inpatient,67,Admission/Election Notice for Hospice
077A,7,7,A,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Federally Qualified Health Center (FQHC),77,Admission/Election Notice for Hospice
087A,8,7,A,Special facility or hospital,Reserved for National Assignment,87,Admission/Election Notice for Hospice
097A,9,7,A,Reserved for National Assignment,Subacute Inpatient,97,Admission/Election Notice for Hospice
018A,1,8,A,Hospital,Reserved for National Assignment,18,Admission/Election Notice for Hospice
028A,2,8,A,Skilled Nursing Facility (SNF),Reserved for National Assignment,28,Admission/Election Notice for Hospice
038A,3,8,A,Home Health,Reserved for National Assignment,38,Admission/Election Notice for Hospice
048A,4,8,A,Religious Nonmedical (Hospital),Reserved for National Assignment,48,Admission/Election Notice for Hospice
058A,5,8,A,Religious Nonmedical (Extended Care),Reserved for National Assignment,58,Admission/Election Notice for Hospice
068A,6,8,A,Intermediate Care,Reserved for National Assignment,68,Admission/Election Notice for Hospice
078A,7,8,A,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Reserved for National Assignment,78,Admission/Election Notice for Hospice
088A,8,8,A,Special facility or hospital,Reserved for National Assignment,88,Admission/Election Notice for Hospice
098A,9,8,A,Reserved for National Assignment,Reserved for National Assignment,98,Admission/Election Notice for Hospice
019A,1,9,A,Hospital,Reserved for National Assignment,19,Admission/Election Notice for Hospice
029A,2,9,A,Skilled Nursing Facility (SNF),Reserved for National Assignment,29,Admission/Election Notice for Hospice
039A,3,9,A,Home Health,Reserved for National Assignment,39,Admission/Election Notice for Hospice
049A,4,9,A,Religious Nonmedical (Hospital),Reserved for National Assignment,49,Admission/Election Notice for Hospice
059A,5,9,A,Religious Nonmedical (Extended Care),Reserved for National Assignment,59,Admission/Election Notice for Hospice
069A,6,9,A,Intermediate Care,Reserved for National Assignment,69,Admission/Election Notice for Hospice
079A,7,9,A,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Other,79,Admission/Election Notice for Hospice
089A,8,9,A,Special facility or hospital,Other,89,Admission/Election Notice for Hospice
099A,9,9,A,Reserved for National Assignment,Reserved for National Assignment,99,Admission/Election Notice for Hospice
011B,1,1,B,Hospital,Inpatient (Part A),11,Hospice Termination/ Revocation Notice
021B,2,1,B,Skilled Nursing Facility (SNF),Inpatient (Part A),21,Hospice Termination/ Revocation Notice
031B,3,1,B,Home Health,Inpatient (Part A),31,Hospice Termination/ Revocation Notice
041B,4,1,B,Religious Nonmedical (Hospital),Inpatient (Part A),41,Hospice Termination/ Revocation Notice
051B,5,1,B,Religious Nonmedical (Extended Care),Inpatient (Part A),51,Hospice Termination/ Revocation Notice
061B,6,1,B,Intermediate Care,Inpatient (Part A),61,Hospice Termination/ Revocation Notice
071B,7,1,B,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Rural Health Center (RHC),71,Hospice Termination/ Revocation Notice
081B,8,1,B,Special facility or hospital,Hospice (non-hospital based),81,Hospice Termination/ Revocation Notice
091B,9,1,B,Reserved for National Assignment,Inpatient (Part A),91,Hospice Termination/ Revocation Notice
012B,1,2,B,Hospital,Inpatient (Part B),12,Hospice Termination/ Revocation Notice
022B,2,2,B,Skilled Nursing Facility (SNF),Inpatient (Part B),22,Hospice Termination/ Revocation Notice
032B,3,2,B,Home Health,Inpatient (Part B),32,Hospice Termination/ Revocation Notice
042B,4,2,B,Religious Nonmedical (Hospital),Inpatient (Part B),42,Hospice Termination/ Revocation Notice
052B,5,2,B,Religious Nonmedical (Extended Care),Inpatient (Part B),52,Hospice Termination/ Revocation Notice
062B,6,2,B,Intermediate Care,Inpatient (Part B),62,Hospice Termination/ Revocation Notice
072B,7,2,B,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Hospital based or Independent Renal Dialysis Center,72,Hospice Termination/ Revocation Notice
082B,8,2,B,Special facility or hospital,Hospice (hospital based),82,Hospice Termination/ Revocation Notice
092B,9,2,B,Reserved for National Assignment,Inpatient (Part B),92,Hospice Termination/ Revocation Notice
013B,1,3,B,Hospital,Outpatient,13,Hospice Termination/ Revocation Notice
023B,2,3,B,Skilled Nursing Facility (SNF),Outpatient,23,Hospice Termination/ Revocation Notice
033B,3,3,B,Home Health,Outpatient,33,Hospice Termination/ Revocation Notice
043B,4,3,B,Religious Nonmedical (Hospital),Outpatient,43,Hospice Termination/ Revocation Notice
053B,5,3,B,Religious Nonmedical (Extended Care),Outpatient,53,Hospice Termination/ Revocation Notice
063B,6,3,B,Intermediate Care,Outpatient,63,Hospice Termination/ Revocation Notice
073B,7,3,B,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Federally Qualified Health Center (FQHC),73,Hospice Termination/ Revocation Notice
083B,8,3,B,Special facility or hospital,ASC Services to Hospital Outpatients,83,Hospice Termination/ Revocation Notice
093B,9,3,B,Reserved for National Assignment,Outpatient,93,Hospice Termination/ Revocation Notice
014B,1,4,B,Hospital,Other (Part B),14,Hospice Termination/ Revocation Notice
024B,2,4,B,Skilled Nursing Facility (SNF),Other (Part B),24,Hospice Termination/ Revocation Notice
034B,3,4,B,Home Health,Other (Part B),34,Hospice Termination/ Revocation Notice
044B,4,4,B,Religious Nonmedical (Hospital),Other (Part B),44,Hospice Termination/ Revocation Notice
054B,5,4,B,Religious Nonmedical (Extended Care),Other (Part B),54,Hospice Termination/ Revocation Notice
064B,6,4,B,Intermediate Care,Other (Part B),64,Hospice Termination/ Revocation Notice
074B,7,4,B,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Other Rehabilitation Facility (ORF),74,Hospice Termination/ Revocation Notice
084B,8,4,B,Special facility or hospital,Free Standing Birthing Center,84,Hospice Termination/ Revocation Notice
094B,9,4,B,Reserved for National Assignment,Other (Part B),94,Hospice Termination/ Revocation Notice
015B,1,5,B,Hospital,Intermediate Care - Level I,15,Hospice Termination/ Revocation Notice
025B,2,5,B,Skilled Nursing Facility (SNF),Intermediate Care - Level I,25,Hospice Termination/ Revocation Notice
035B,3,5,B,Home Health,Intermediate Care - Level I,35,Hospice Termination/ Revocation Notice
045B,4,5,B,Religious Nonmedical (Hospital),Intermediate Care - Level I,45,Hospice Termination/ Revocation Notice
055B,5,5,B,Religious Nonmedical (Extended Care),Intermediate Care - Level I,55,Hospice Termination/ Revocation Notice
065B,6,5,B,Intermediate Care,Intermediate Care - Level I,65,Hospice Termination/ Revocation Notice
075B,7,5,B,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Comprehensive Outpatient Rehabilitation Facility (CORF),75,Hospice Termination/ Revocation Notice
085B,8,5,B,Special facility or hospital,Critical Access Hospital (CAH),85,Hospice Termination/ Revocation Notice
095B,9,5,B,Reserved for National Assignment,Intermediate Care - Level I,95,Hospice Termination/ Revocation Notice
016B,1,6,B,Hospital,Intermediate Care - Level II,16,Hospice Termination/ Revocation Notice
026B,2,6,B,Skilled Nursing Facility (SNF),Intermediate Care - Level II,26,Hospice Termination/ Revocation Notice
036B,3,6,B,Home Health,Intermediate Care - Level II,36,Hospice Termination/ Revocation Notice
046B,4,6,B,Religious Nonmedical (Hospital),Intermediate Care - Level II,46,Hospice Termination/ Revocation Notice
056B,5,6,B,Religious Nonmedical (Extended Care),Intermediate Care - Level II,56,Hospice Termination/ Revocation Notice
066B,6,6,B,Intermediate Care,Intermediate Care - Level II,66,Hospice Termination/ Revocation Notice
076B,7,6,B,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Community Mental Health Center (CMHC),76,Hospice Termination/ Revocation Notice
086B,8,6,B,Special facility or hospital,Residential Facility,86,Hospice Termination/ Revocation Notice
096B,9,6,B,Reserved for National Assignment,Intermediate Care - Level II,96,Hospice Termination/ Revocation Notice
017B,1,7,B,Hospital,Subacute Inpatient,17,Hospice Termination/ Revocation Notice
027B,2,7,B,Skilled Nursing Facility (SNF),Subacute Inpatient,27,Hospice Termination/ Revocation Notice
037B,3,7,B,Home Health,Subacute Inpatient,37,Hospice Termination/ Revocation Notice
047B,4,7,B,Religious Nonmedical (Hospital),Subacute Inpatient,47,Hospice Termination/ Revocation Notice
057B,5,7,B,Religious Nonmedical (Extended Care),Subacute Inpatient,57,Hospice Termination/ Revocation Notice
067B,6,7,B,Intermediate Care,Subacute Inpatient,67,Hospice Termination/ Revocation Notice
077B,7,7,B,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Federally Qualified Health Center (FQHC),77,Hospice Termination/ Revocation Notice
087B,8,7,B,Special facility or hospital,Reserved for National Assignment,87,Hospice Termination/ Revocation Notice
097B,9,7,B,Reserved for National Assignment,Subacute Inpatient,97,Hospice Termination/ Revocation Notice
018B,1,8,B,Hospital,Reserved for National Assignment,18,Hospice Termination/ Revocation Notice
028B,2,8,B,Skilled Nursing Facility (SNF),Reserved for National Assignment,28,Hospice Termination/ Revocation Notice
038B,3,8,B,Home Health,Reserved for National Assignment,38,Hospice Termination/ Revocation Notice
048B,4,8,B,Religious Nonmedical (Hospital),Reserved for National Assignment,48,Hospice Termination/ Revocation Notice
058B,5,8,B,Religious Nonmedical (Extended Care),Reserved for National Assignment,58,Hospice Termination/ Revocation Notice
068B,6,8,B,Intermediate Care,Reserved for National Assignment,68,Hospice Termination/ Revocation Notice
078B,7,8,B,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Reserved for National Assignment,78,Hospice Termination/ Revocation Notice
088B,8,8,B,Special facility or hospital,Reserved for National Assignment,88,Hospice Termination/ Revocation Notice
098B,9,8,B,Reserved for National Assignment,Reserved for National Assignment,98,Hospice Termination/ Revocation Notice
019B,1,9,B,Hospital,Reserved for National Assignment,19,Hospice Termination/ Revocation Notice
029B,2,9,B,Skilled Nursing Facility (SNF),Reserved for National Assignment,29,Hospice Termination/ Revocation Notice
039B,3,9,B,Home Health,Reserved for National Assignment,39,Hospice Termination/ Revocation Notice
049B,4,9,B,Religious Nonmedical (Hospital),Reserved for National Assignment,49,Hospice Termination/ Revocation Notice
059B,5,9,B,Religious Nonmedical (Extended Care),Reserved for National Assignment,59,Hospice Termination/ Revocation Notice
069B,6,9,B,Intermediate Care,Reserved for National Assignment,69,Hospice Termination/ Revocation Notice
079B,7,9,B,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Other,79,Hospice Termination/ Revocation Notice
089B,8,9,B,Special facility or hospital,Other,89,Hospice Termination/ Revocation Notice
099B,9,9,B,Reserved for National Assignment,Reserved for National Assignment,99,Hospice Termination/ Revocation Notice
011C,1,1,C,Hospital,Inpatient (Part A),11,Hospice Change of Provider Notice
021C,2,1,C,Skilled Nursing Facility (SNF),Inpatient (Part A),21,Hospice Change of Provider Notice
031C,3,1,C,Home Health,Inpatient (Part A),31,Hospice Change of Provider Notice
041C,4,1,C,Religious Nonmedical (Hospital),Inpatient (Part A),41,Hospice Change of Provider Notice
051C,5,1,C,Religious Nonmedical (Extended Care),Inpatient (Part A),51,Hospice Change of Provider Notice
061C,6,1,C,Intermediate Care,Inpatient (Part A),61,Hospice Change of Provider Notice
071C,7,1,C,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Rural Health Center (RHC),71,Hospice Change of Provider Notice
081C,8,1,C,Special facility or hospital,Hospice (non-hospital based),81,Hospice Change of Provider Notice
091C,9,1,C,Reserved for National Assignment,Inpatient (Part A),91,Hospice Change of Provider Notice
012C,1,2,C,Hospital,Inpatient (Part B),12,Hospice Change of Provider Notice
022C,2,2,C,Skilled Nursing Facility (SNF),Inpatient (Part B),22,Hospice Change of Provider Notice
032C,3,2,C,Home Health,Inpatient (Part B),32,Hospice Change of Provider Notice
042C,4,2,C,Religious Nonmedical (Hospital),Inpatient (Part B),42,Hospice Change of Provider Notice
052C,5,2,C,Religious Nonmedical (Extended Care),Inpatient (Part B),52,Hospice Change of Provider Notice
062C,6,2,C,Intermediate Care,Inpatient (Part B),62,Hospice Change of Provider Notice
072C,7,2,C,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Hospital based or Independent Renal Dialysis Center,72,Hospice Change of Provider Notice
082C,8,2,C,Special facility or hospital,Hospice (hospital based),82,Hospice Change of Provider Notice
092C,9,2,C,Reserved for National Assignment,Inpatient (Part B),92,Hospice Change of Provider Notice
013C,1,3,C,Hospital,Outpatient,13,Hospice Change of Provider Notice
023C,2,3,C,Skilled Nursing Facility (SNF),Outpatient,23,Hospice Change of Provider Notice
033C,3,3,C,Home Health,Outpatient,33,Hospice Change of Provider Notice
043C,4,3,C,Religious Nonmedical (Hospital),Outpatient,43,Hospice Change of Provider Notice
053C,5,3,C,Religious Nonmedical (Extended Care),Outpatient,53,Hospice Change of Provider Notice
063C,6,3,C,Intermediate Care,Outpatient,63,Hospice Change of Provider Notice
073C,7,3,C,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Federally Qualified Health Center (FQHC),73,Hospice Change of Provider Notice
083C,8,3,C,Special facility or hospital,ASC Services to Hospital Outpatients,83,Hospice Change of Provider Notice
093C,9,3,C,Reserved for National Assignment,Outpatient,93,Hospice Change of Provider Notice
014C,1,4,C,Hospital,Other (Part B),14,Hospice Change of Provider Notice
024C,2,4,C,Skilled Nursing Facility (SNF),Other (Part B),24,Hospice Change of Provider Notice
034C,3,4,C,Home Health,Other (Part B),34,Hospice Change of Provider Notice
044C,4,4,C,Religious Nonmedical (Hospital),Other (Part B),44,Hospice Change of Provider Notice
054C,5,4,C,Religious Nonmedical (Extended Care),Other (Part B),54,Hospice Change of Provider Notice
064C,6,4,C,Intermediate Care,Other (Part B),64,Hospice Change of Provider Notice
074C,7,4,C,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Other Rehabilitation Facility (ORF),74,Hospice Change of Provider Notice
084C,8,4,C,Special facility or hospital,Free Standing Birthing Center,84,Hospice Change of Provider Notice
094C,9,4,C,Reserved for National Assignment,Other (Part B),94,Hospice Change of Provider Notice
015C,1,5,C,Hospital,Intermediate Care - Level I,15,Hospice Change of Provider Notice
025C,2,5,C,Skilled Nursing Facility (SNF),Intermediate Care - Level I,25,Hospice Change of Provider Notice
035C,3,5,C,Home Health,Intermediate Care - Level I,35,Hospice Change of Provider Notice
045C,4,5,C,Religious Nonmedical (Hospital),Intermediate Care - Level I,45,Hospice Change of Provider Notice
055C,5,5,C,Religious Nonmedical (Extended Care),Intermediate Care - Level I,55,Hospice Change of Provider Notice
065C,6,5,C,Intermediate Care,Intermediate Care - Level I,65,Hospice Change of Provider Notice
075C,7,5,C,Clinic or Hospital based End Stage Renal Disease (ESRD) facility,Comprehensive Outpatient Rehabilitation Facility (CORF),75,Hospice Change of Provider Notice
085C,8,5,C,Special facility or hospital,Critical Access Hospital (CAH),85,Hospice Change of Provider Notice
095C,9,5,C,Reserved for National Assignment,Intermediate Care - Level I,95,Hospice Change of Provider Notice
016C,1,6,C,Hospital,Intermediate Care - Level II,16,Hospice Change of Provider Notice
026C,2,6,C,Skilled Nursing Facility (SNF),Intermediate Care - Level II,26,Hospice Change of Provider Notice
036C,3,6,C,Home Health,Intermediate Care - Level II,36,Hospice Change of Provider Notice
